Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0109813,1,2001-12-03,The Flintstones,https://www.imdb.com/title/tt0109813/,movie,4.9,91,1994,"Comedy, Family, Fantasy",73228,1994-05-23,Brian Levant
tt0109831,3,2000-10-23,Four Weddings and a Funeral,https://www.imdb.com/title/tt0109831/,movie,7.0,117,1994,"Comedy, Drama, Romance",133233,1994-01-20,Mike Newell
tt0109942,9,1970-01-01,Grosse fatigue,https://www.imdb.com/title/tt0109942/,movie,6.3,92,1994,Comedy,1753,1994-05-18,Michel Blanc
tt0110074,8,2003-06-23,The Hudsucker Proxy,https://www.imdb.com/title/tt0110074/,movie,7.2,111,1994,"Comedy, Drama, Fantasy",74902,1994-01-27,"Joel Coen, Ethan Coen"
tt1103275,7,2009-08-10,Two Lovers,https://www.imdb.com/title/tt1103275/,movie,7.0,110,2008,"Drama, Romance",36361,2008-05-19,James Gray
tt0110357,2,2000-08-13,The Lion King,https://www.imdb.com/title/tt0110357/,movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Musical",899334,1994-06-12,"Rob Minkoff, Roger Allers"
tt1103963,9,2012-06-28,Er shi si cheng ji,https://www.imdb.com/title/tt1103963/,movie,7.1,112,2008,Drama,1650,2008-05-17,Zhangke Jia
tt1103982,7,2010-06-18,The Girlfriend Experience,https://www.imdb.com/title/tt1103982/,movie,5.5,77,2009,Drama,15507,2009-01-20,Steven Soderbergh
tt0110413,9,2000-10-23,Léon,https://www.imdb.com/title/tt0110413/,movie,8.5,110,1994,"Action, Crime, Drama, Thriller",986631,1994-09-14,Luc Besson
tt0110425,7,2002-11-26,La machine,https://www.imdb.com/title/tt0110425/,movie,5.4,96,1994,"Horror, Sci-Fi, Thriller",625,1994-11-30,François Dupeyron
tt0110478,8,2001-01-26,Maverick,https://www.imdb.com/title/tt0110478/,movie,7.0,127,1994,"Action, Adventure, Comedy, Thriller, Western",98391,1994-05-20,Richard Donner
tt0110524,2,2007-02-05,Minnâ-yatteruka!,https://www.imdb.com/title/tt0110524/,movie,6.2,108,1994,Comedy,2518,1994-11-30,Takeshi Kitano
tt0110570,5,2001-06-19,Il mostro,https://www.imdb.com/title/tt0110570/,movie,7.5,112,1994,"Comedy, Crime, Mystery",9313,1994-10-22,Roberto Benigni
tt0110632,9,2001-11-08,Natural Born Killers,https://www.imdb.com/title/tt0110632/,movie,7.3,118,1994,"Action, Crime, Drama",208886,1994-08-26,Oliver Stone
tt0110678,7,2000-10-23,No Escape,https://www.imdb.com/title/tt0110678/,movie,6.1,118,1994,"Action, Drama, Sci-Fi, Thriller",18036,1994-02-24,Martin Campbell
tt0011071,6,2002-05-29,Convict 13,https://www.imdb.com/title/tt0011071/,short,7.1,19,1920,"Short, Comedy, Crime",2609,1920-10-27,"Edward F. Cline, Buster Keaton"
tt0110831,7,2020-04-25,Picture of Light,https://www.imdb.com/title/tt0110831/,movie,7.2,83,1994,Documentary,228,1994-01-21,Peter Mettler
tt0110877,9,2000-10-23,Il postino,https://www.imdb.com/title/tt0110877/,movie,7.7,108,1994,"Biography, Comedy, Drama, Romance",32086,1994-09-01,"Massimo Troisi, Michael Radford"
tt0110912,9,2010-09-19,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1746751,1994-05-21,Quentin Tarantino
tt0110932,8,2000-08-13,Quiz Show,https://www.imdb.com/title/tt0110932/,movie,7.5,133,1994,"Biography, Drama, History",62704,1994-09-23,Robert Redford
tt0110944,8,2001-04-22,Rapa Nui,https://www.imdb.com/title/tt0110944/,movie,6.4,107,1994,"Action, Adventure, Drama, History, Romance",4511,1994-03-31,Kevin Reynolds
tt0110963,9,2001-11-08,La Reine Margot,https://www.imdb.com/title/tt0110963/,movie,7.4,159,1994,"Biography, Drama, History, Romance",15807,1994-05-13,Patrice Chéreau
tt0111109,10,2000-08-13,Secret World Live,https://www.imdb.com/title/tt0111109/,tvSpecial,8.9,102,1994,"Documentary, Music",571,,François Girard
tt0111149,7,2002-07-30,Shallow Grave,https://www.imdb.com/title/tt0111149/,movie,7.3,89,1994,"Crime, Thriller",54867,1994-05-17,Danny Boyle
tt0111161,8,2001-04-18,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2227117,1994-09-10,Frank Darabont
tt0111257,7,2000-10-20,Speed,https://www.imdb.com/title/tt0111257/,movie,7.2,116,1994,"Action, Adventure, Thriller",316738,1994-06-10,Jan de Bont
tt0111282,6,2000-08-13,Stargate,https://www.imdb.com/title/tt0111282/,movie,7.1,116,1994,"Action, Adventure, Sci-Fi",170231,1994-10-28,Roland Emmerich
tt0111495,6,2011-10-30,Trois couleurs: Rouge,https://www.imdb.com/title/tt0111495/,movie,8.1,99,1994,"Drama, Mystery, Romance",84897,1994-05-16,Krzysztof Kieslowski
tt0111503,8,2000-10-23,True Lies,https://www.imdb.com/title/tt0111503/,movie,7.2,141,1994,"Action, Comedy, Thriller",229112,1994-07-12,James Cameron
tt0111507,7,2011-10-30,Trois couleurs: Blanc,https://www.imdb.com/title/tt0111507/,movie,7.7,92,1994,"Comedy, Drama, Romance",59660,1994-01-26,Krzysztof Kieslowski
tt1119646,6,2011-02-27,The Hangover,https://www.imdb.com/title/tt1119646/,movie,7.7,100,2009,Comedy,696248,2009-05-30,Todd Phillips
tt1121093,6,2008-04-13,Si Mamad,https://www.imdb.com/title/tt1121093/,movie,7.0,111,1973,"Comedy, Drama",20,1973-12-31,Sjuman Djaya
